Problem ID,Problem Name,Title Tags,Plain Tags,Number Solved,Complexity,Class,NumberSolvedNormalized
643G,Choosing Ads,,,25,0.938,Hard,0.0005940218
643F,Bears and Juice,Mathematics including integration differential equations etc,math,71,0.366,Easy,0.0016870218
643E,Bear and Destroying Subtrees,Dynamic programming|Mathematics including integration differential equations etc|Probabilities expected values statistics random variables etc|Trees,dp|math|probabilities|trees,195,0.802,Hard,0.0046333698
643D,Bearish Fanpages,,,73,0.938,Hard,0.0017345436
643C,Levels and Regions,Dynamic programming,dp,456,0.706,Medium,0.010834957
643B,Bear and Two Paths,Constructive algorithms,constructive algorithms,2031,0.433,Medium,0.0482583282
643A,Bear and Colors,Implementation problems programming technics simulation,implementation,2664,0,Easy,0.0632989593
641G,Little Artem and Graph,,,26,0.938,Hard,0.0006177826
641F,Little Artem and 2-SAT,,,61,0.938,Hard,0.0014494131
641E,Little Artem and Time Machine,Heaps binary search trees segment trees hash tables etc,data structures,1155,0.739,Hard,0.0274438055
641D,Little Artem and Random Variable,Dynamic programming|Implementation problems programming technics simulation|Mathematics including integration differential equations etc|Probabilities expected values statistics random variables etc,dp|implementation|math|probabilities,525,0.802,Hard,0.0124744571
641C,Little Artem and Dance,Brute force|Constructive algorithms|Implementation problems programming technics simulation,brute force|constructive algorithms|implementation,1844,0.433,Medium,0.0438150454
641B,Little Artem and Matrix,Implementation problems programming technics simulation,implementation,2872,0,Easy,0.0682412204
641A,Little Artem and Grasshopper,Implementation problems programming technics simulation,implementation,3786,0,Easy,0.0899586561
639F,Bear and Chemistry,Heaps binary search trees segment trees hash tables etc|Dfs and similar|Graphs|Trees,data structures|dfs and similar|graphs|trees,46,0.756,Hard,0.001093
639E,Bear and Paradox,Greedy algorithms|Mathematics including integration differential equations etc|Sortings orderings,greedy|math|sortings,141,0.366,Easy,0.0033502828
639D,Bear and Contribution,Heaps binary search trees segment trees hash tables etc|Greedy algorithms|Sortings orderings,data structures|greedy|sortings,481,0.739,Hard,0.0114289788
639C,Bear and Polynomials,Hashing hashtables|Implementation problems programming technics simulation|Mathematics including integration differential equations etc,hashing|implementation|math,854,0.714,Medium,0.0202917835
639B,Bear and Forgotten Tree 3,Constructive algorithms|Graphs|Trees,constructive algorithms|graphs|trees,3281,0.756,Hard,0.0779594164
639A,Bear and Displayed Friends,Implementation problems programming technics simulation,implementation,4102,0,Easy,0.0974670912
638D,Three-dimensional Turtle Super Computer,Brute force|Dfs and similar|Graphs,brute force|dfs and similar|graphs,526,0.705,Medium,0.0124982179
638C,Road Improvement,Dfs and similar|Greedy algorithms|Trees,dfs and similar|greedy|trees,648,0.756,Hard,0.0153970441
638B,Making Genome in Berland,Dfs and similar|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,dfs and similar|strings,1184,0.645,Medium,0.0281328708
638A,Home Numbers,Constructive algorithms,constructive algorithms,2421,0.433,Medium,0.0575250677
637D,Running with Obstacles,Heaps binary search trees segment trees hash tables etc|Dynamic programming|Greedy algorithms,data structures|dp|greedy,1425,0.739,Hard,0.0338592406
637C,Promocodes with Mistakes,Brute force|Constructive algorithms|Implementation problems programming technics simulation,brute force|constructive algorithms|implementation,1981,0.433,Medium,0.0470702847
637B,Chat Order,Binary search|Heaps binary search trees segment trees hash tables etc|Sortings orderings,binary search|data structures|sortings,3093,0.739,Hard,0.0734923728
637A,Voting for Photos,Implementation problems programming technics simulation,implementation,3222,0,Easy,0.0765575251
635A,Orchestra,Brute force|Implementation problems programming technics simulation,brute force|implementation,1863,0.298,Easy,0.0442665019
634A,Island Puzzle,Constructive algorithms|Implementation problems programming technics simulation,constructive algorithms|implementation,1944,0.433,Medium,0.0461911324
633H,Fibonacci-ish II,Heaps binary search trees segment trees hash tables etc|Implementation problems programming technics simulation,data structures|implementation,125,0.739,Hard,0.0029701088
633G,Yash And Trees,Bitmasks|Heaps binary search trees segment trees hash tables etc|Dfs and similar,bitmasks|data structures|dfs and similar,250,0.739,Hard,0.0059402176
633F,The Chocolate Spree,Dfs and similar|Dynamic programming|Trees,dfs and similar|dp|trees,284,0.756,Hard,0.0067480872
633E,Startup Funding,Binary search|Heaps binary search trees segment trees hash tables etc|Probabilities expected values statistics random variables etc|Two pointers,binary search|data structures|probabilities|two pointers,359,0.802,Hard,0.0085301525
633D,Fibonacci-ish,Brute force|Hashing hashtables|Implementation problems programming technics simulation|Mathematics including integration differential equations etc,brute force|hashing|implementation|math,1195,0.714,Medium,0.0283942404
633C,Spy Syndrome 2,Heaps binary search trees segment trees hash tables etc|Dynamic programming|Hashing hashtables|Implementation problems programming technics simulation|Sortings orderings|Suffix arrays suffix trees suffix automatas etc|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,data structures|dp|hashing|implementation|sortings|string suffix structures|strings,1143,0.825,Hard,0.0271586751
633B,A Trivial Problem,Brute force|Constructive algorithms|Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,brute force|constructive algorithms|math|number theory,3358,0.489,Medium,0.0797890035
633A,Ebony and Ivory,Brute force|Mathematics including integration differential equations etc,brute force|math,4476,0.366,Easy,0.1063536568
632F,Magic Matrix,Brute force|Divide and Conquer|Graphs|Trees,brute force|divide and conquer|graphs|trees,201,0.857,Hard,0.004775935
632E,Thief in a Shop,Divide and Conquer|Dynamic programming|Fast Fourier transform,divide and conquer|dp|fft,319,0.926,Hard,0.0075797177
632D,Longest Subsequence,Brute force|Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,brute force|math|number theory,832,0.489,Medium,0.0197690443
632C,The Smallest String Concatenation,Sortings orderings|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,sortings|strings,1757,0.331,Easy,0.0417478496
632B,Alice Bob Two Teams,Brute force|Constructive algorithms,brute force|constructive algorithms,1743,0.433,Medium,0.0414151975
632A,Grandma Laura and Apples,,,2150,0.938,Hard,0.0510858718
631E,Product Sum,Heaps binary search trees segment trees hash tables etc|Dynamic programming|Geometry computational geometry,data structures|dp|geometry,350,0.781,Hard,0.0083163047
631D,Messenger,Heaps binary search trees segment trees hash tables etc|Hashing hashtables|Suffix arrays suffix trees suffix automatas etc|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,data structures|hashing|string suffix structures|strings,900,0.825,Hard,0.0213847835
631C,Report,Heaps binary search trees segment trees hash tables etc|Sortings orderings,data structures|sortings,2093,0.739,Hard,0.0497315022
631B,Print Check,Constructive algorithms|Implementation problems programming technics simulation,constructive algorithms|implementation,3982,0.433,Medium,0.0946157867
631A,Interview,Brute force|Implementation problems programming technics simulation,brute force|implementation,4990,0.298,Easy,0.1185667443
630R,Game,Games Sprague–Grundy theorem,games,3318,0.663,Medium,0.0788385686
630Q,Pyramids,Geometry computational geometry,geometry,555,0.781,Hard,0.0131872832
630P,Area of a Star,Geometry computational geometry,geometry,349,0.781,Hard,0.0082925438
630O,Arrow,Geometry computational geometry,geometry,312,0.781,Hard,0.0074133916
630N,Forecast,Mathematics including integration differential equations etc,math,2333,0.366,Easy,0.0554341111
630M,Turn,Geometry computational geometry|Mathematics including integration differential equations etc,geometry|math,564,0.781,Hard,0.013401131
630L,Cracking the Code,Implementation problems programming technics simulation,implementation,1630,0,Easy,0.0387302191
630K,Indivisibility,Mathematics including integration differential equations etc,math,1710,0.366,Easy,0.0406310887
630J,Divisibility,Mathematics including integration differential equations etc,math,3511,0.366,Easy,0.0834244167
630I,Parking Lot,Combinatorics,combinatorics,821,0.687,Medium,0.0195076748
630H,Benches,Combinatorics,combinatorics,1593,0.687,Medium,0.0378510669
630G,Challenge Pennants,Combinatorics,combinatorics,1038,0.687,Medium,0.0246637837
630F,Selection of Personnel,Combinatorics,combinatorics,2286,0.687,Medium,0.0543173502
630E,A rectangle,Mathematics including integration differential equations etc,math,997,0.366,Easy,0.023689588
630D,Hexagons!,Mathematics including integration differential equations etc,math,3599,0.366,Easy,0.0855153733
630C,Lucky Numbers,Combinatorics|Mathematics including integration differential equations etc,combinatorics|math,4335,0.687,Medium,0.103003374
630B,Moore's Law,Mathematics including integration differential equations etc,math,3156,0.366,Easy,0.0749893076
630A,Again Twenty Five!,Number theory: Euler function GCD divisibility etc,number theory,6232,0.489,Medium,0.1480777456
629E,Famil Door and Roads,Dfs and similar|Dynamic programming|Probabilities expected values statistics random variables etc|Trees,dfs and similar|dp|probabilities|trees,409,0.802,Hard,0.0097181961
629D,Babaei and Birthday Cake,Heaps binary search trees segment trees hash tables etc|Dynamic programming,data structures|dp,1629,0.739,Hard,0.0387064582
629C,Famil Door and Brackets,Dynamic programming|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,dp|strings,1469,0.706,Medium,0.0349047189
629B,Far Relative’s Problem,Brute force,brute force,4725,0.298,Easy,0.1122701136
629A,Far Relative’s Birthday Cake,Brute force|Constructive algorithms|Implementation problems programming technics simulation,brute force|constructive algorithms|implementation,5753,0.433,Medium,0.1366962886
628F,Bear and Fair Set,Graph network flows,flows,170,0.877,Hard,0.004039348
628E,Zbazi in Zeydabad,Heaps binary search trees segment trees hash tables etc|Implementation problems programming technics simulation,data structures|implementation,254,0.739,Hard,0.0060352611
628D,Magic Numbers,Dynamic programming,dp,632,0.706,Medium,0.0150168702
628C,Bear and String Distance,Greedy algorithms,greedy,2229,0.353,Easy,0.0529629806
628B,New Skateboard,Dynamic programming,dp,2721,0.706,Medium,0.0646533289
628A,Tennis Tournament,Implementation problems programming technics simulation,implementation,3060,0,Easy,0.072708264
627F,Island Puzzle,Dfs and similar|Graphs|Trees,dfs and similar|graphs|trees,22,0.756,Hard,0.0005227392
627E,Orchestra,Two pointers,two pointers,78,0.528,Medium,0.0018533479
627D,Preorder Test,Binary search|Dynamic programming|Trees,binary search|dp|trees,269,0.756,Hard,0.0063916742
627C,Package Delivery,Heaps binary search trees segment trees hash tables etc|Divide and Conquer|Greedy algorithms,data structures|divide and conquer|greedy,643,0.857,Hard,0.0152782398
627B,Factory Repairs,Heaps binary search trees segment trees hash tables etc,data structures,1285,0.739,Hard,0.0305327187
627A,XOR Equation,Dynamic programming|Mathematics including integration differential equations etc,dp|math,1589,0.706,Medium,0.0377560234
626G,Raffles,Heaps binary search trees segment trees hash tables etc|Greedy algorithms,data structures|greedy,98,0.739,Hard,0.0023285653
626F,Group Projects,Dynamic programming,dp,560,0.706,Medium,0.0133060875
626E,Simple Skewness,Binary search|Mathematics including integration differential equations etc|Ternary search,binary search|math|ternary search,577,0.678,Medium,0.0137100223
626D,Jerry's Protest,Brute force|Combinatorics|Probabilities expected values statistics random variables etc,brute force|combinatorics|probabilities,1578,0.802,Hard,0.0374946538
626C,Block Towers,Brute force|Greedy algorithms,brute force|greedy,2577,0.353,Easy,0.0612317635
626B,Cards,Constructive algorithms|Dynamic programming,constructive algorithms|dp,3398,0.706,Medium,0.0807394383
626A,Robot Sequence,Brute force|Implementation problems programming technics simulation,brute force|implementation,4110,0.298,Easy,0.0976571782
625E,Frog Fights,Heaps binary search trees segment trees hash tables etc|Greedy algorithms,data structures|greedy,85,0.739,Hard,0.002019674
625D,Finals in arithmetic,Constructive algorithms|Implementation problems programming technics simulation,constructive algorithms|implementation,402,0.433,Medium,0.00955187
625C,K-special Tables,Constructive algorithms|Implementation problems programming technics simulation,constructive algorithms|implementation,3926,0.433,Medium,0.093285178
625B,War of the Corporations,Constructive algorithms|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,constructive algorithms|strings,4477,0.433,Medium,0.1063774177
625A,Guest From the Past,Implementation problems programming technics simulation|Mathematics including integration differential equations etc,implementation|math,3305,0.366,Easy,0.0785296773
624B,Making a String,Greedy algorithms|Sortings orderings,greedy|sortings,4655,0.353,Easy,0.1106068526
624A,Save Luke,Mathematics including integration differential equations etc,math,5453,0.366,Easy,0.1295680274
623E,Transforming Sequence,Combinatorics|Dynamic programming|Fast Fourier transform,combinatorics|dp|fft,81,0.926,Hard,0.0019246305
623D,Birthday,Greedy algorithms|Probabilities expected values statistics random variables etc,greedy|probabilities,228,0.802,Hard,0.0054174785
623C,Electric Charges,Binary search,binary search,257,0.582,Medium,0.0061065437
623B,Array GCD,Dynamic programming|Greedy algorithms|Number theory: Euler function GCD divisibility etc,dp|greedy|number theory,898,0.706,Medium,0.0213372618
623A,Graph and String,Constructive algorithms|Graphs,constructive algorithms|graphs,2576,0.705,Medium,0.0612080027
622F,The Sum of the k-th Powers,Mathematics including integration differential equations etc,math,197,0.366,Easy,0.0046808915
622E,Ants in Leaves,Dfs and similar|Greedy algorithms|Trees,dfs and similar|greedy|trees,647,0.756,Hard,0.0153732833
622D,Optimal Number Permutation,Constructive algorithms,constructive algorithms,1179,0.433,Medium,0.0280140664
622C,Not Equal on a Segment,Heaps binary search trees segment trees hash tables etc|Implementation problems programming technics simulation,data structures|implementation,2081,0.739,Hard,0.0494463717
622B,The Time,Implementation problems programming technics simulation,implementation,4046,0,Easy,0.0961364824
622A,Infinite Sequence,Implementation problems programming technics simulation|Mathematics including integration differential equations etc,implementation|math,4140,0.366,Easy,0.0983700043
621E,Wet Shark and Blocks,Dynamic programming|Matrix multiplication determinant Cramer's rule systems of linear equations,dp|matrices,1085,0.861,Hard,0.0257805446
621D,Rat Kwesh and Cheese,Brute force|Mathematics including integration differential equations etc,brute force|math,697,0.366,Easy,0.0165613268
621C,Wet Shark and Flowers,Probabilities expected values statistics random variables etc,probabilities,2599,0.802,Hard,0.0617545027
621B,Wet Shark and Bishops,Combinatorics,combinatorics,4933,0.687,Medium,0.1172123747
621A,Wet Shark and Odd and Even,Implementation problems programming technics simulation,implementation,7496,0,Easy,0.178111486
620F,Xors on Segments,Heaps binary search trees segment trees hash tables etc,data structures,194,0.739,Hard,0.0046096089
620E,New Year Tree,Bitmasks|Heaps binary search trees segment trees hash tables etc,bitmasks|data structures,842,0.739,Hard,0.020006653
620D,Professor GukiZ and Two Arrays,Binary search|Two pointers,binary search|two pointers,574,0.582,Medium,0.0136387397
620C,Pearls in a Row,Greedy algorithms,greedy,2635,0.353,Easy,0.062609894
620B,Grandfather Dovlet’s calculator,Implementation problems programming technics simulation,implementation,4507,0,Easy,0.1070902438
620A,Professor GukiZ's Robot,Implementation problems programming technics simulation|Mathematics including integration differential equations etc,implementation|math,5459,0.366,Easy,0.1297105926
618G,Combining Slimes,Dynamic programming|Matrix multiplication determinant Cramer's rule systems of linear equations|Probabilities expected values statistics random variables etc,dp|matrices|probabilities,33,0.861,Hard,0.0007841087
618F,Double Knapsack,Constructive algorithms|Two pointers,constructive algorithms|two pointers,219,0.528,Medium,0.0052036307
618E,Robot Arm,Heaps binary search trees segment trees hash tables etc,data structures,326,0.739,Hard,0.0077460438
618D,Hamiltonian Spanning Tree,Dfs and similar|Dynamic programming|Graph matchings König's theorem vertex cover of bipartite graph|Trees,dfs and similar|dp|graph matchings|trees,915,0.756,Hard,0.0217411966
618C,Constellation,Geometry computational geometry|Implementation problems programming technics simulation,geometry|implementation,2453,0.781,Hard,0.0582854156
618B,Guess the Permutation,Constructive algorithms,constructive algorithms,4290,0.433,Medium,0.1019341349
618A,Slime Combining,Implementation problems programming technics simulation,implementation,5309,0,Easy,0.126146462
617E,XOR and Favorite Number,Heaps binary search trees segment trees hash tables etc,data structures,1126,0.739,Hard,0.0267547403
617D,Polyline,Constructive algorithms,constructive algorithms,2678,0.433,Medium,0.0636316115
617C,Watering Flowers,Implementation problems programming technics simulation,implementation,2938,0,Easy,0.0698094378
617B,Chocolate,Combinatorics,combinatorics,5567,0.687,Medium,0.1322767666
617A,Elephant,Mathematics including integration differential equations etc,math,10321,0.366,Easy,0.2452359454
616F,Expensive Strings,Suffix arrays suffix trees suffix automatas etc|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,string suffix structures|strings,137,0.825,Hard,0.0032552393
616E,Sum of Remainders,Implementation problems programming technics simulation|Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,implementation|math|number theory,548,0.489,Medium,0.0130209571
616D,Longest k-Good Segment,Binary search|Heaps binary search trees segment trees hash tables etc|Two pointers,binary search|data structures|two pointers,1888,0.739,Hard,0.0448605237
616C,The Labyrinth,Dfs and similar,dfs and similar,1859,0.645,Medium,0.0441714584
616B,Dinner with Emma,Games Sprague–Grundy theorem|Greedy algorithms,games|greedy,3856,0.663,Medium,0.091621917
616A,Comparing Two Long Integers,Implementation problems programming technics simulation|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,implementation|strings,3645,0.331,Easy,0.0866083733
615E,Hexagons,Binary search|Implementation problems programming technics simulation|Mathematics including integration differential equations etc,binary search|implementation|math,640,0.582,Medium,0.0152069572
615D,Multipliers,Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,math|number theory,1564,0.489,Medium,0.0371620016
615C,Running Track,Dynamic programming|Greedy algorithms|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc|Trees,dp|greedy|strings|trees,1394,0.756,Hard,0.0331226536
615B,Longtail Hedgehog,Dynamic programming|Graphs,dp|graphs,2697,0.706,Medium,0.064083068
615A,Bulbs,Implementation problems programming technics simulation,implementation,7055,0,Easy,0.1676329421
614B,Gena's Code,Implementation problems programming technics simulation,implementation,3613,0,Easy,0.0858480255
614A,Link/Cut Tree,Brute force,brute force,4238,0.298,Easy,0.1006985696
613E,Puzzle Lover,Dynamic programming|Hashing hashtables|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,dp|hashing|strings,53,0.714,Medium,0.0012593261
613D,Kingdom and its Cities,Dfs and similar|Divide and Conquer|Graphs|Sortings orderings|Trees,dfs and similar|divide and conquer|graphs|sortings|trees,288,0.857,Hard,0.0068431307
613C,Necklace,Constructive algorithms,constructive algorithms,493,0.433,Medium,0.0117141092
613B,Skills,Binary search|Brute force|Two pointers,binary search|brute force|two pointers,1130,0.582,Medium,0.0268497838
613A,Peter and Snow Blower,Binary search|Geometry computational geometry|Ternary search,binary search|geometry|ternary search,1963,0.781,Hard,0.046642589
612F,Simba on the Circle,Dynamic programming,dp,73,0.706,Medium,0.0017345436
612E,Square Root of Permutation,Combinatorics|Constructive algorithms|Dfs and similar|Graphs,combinatorics|constructive algorithms|dfs and similar|graphs,404,0.705,Medium,0.0095993917
612D,The Union of k-Segments,Sortings orderings,sortings,1278,0.275,Easy,0.0303663926
612C,Replace To Make Regular Bracket Sequence,Heaps binary search trees segment trees hash tables etc|Parsing expression grammar|Mathematics including integration differential equations etc,data structures|expression parsing|math,2459,0.739,Hard,0.0584279808
612B,HDD is Outdated Technology,Implementation problems programming technics simulation,implementation,3081,0,Easy,0.0732072423
612A,The Text Splitting,Brute force|Implementation problems programming technics simulation|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,brute force|implementation|strings,3087,0.331,Easy,0.0733498075
611H,New Year  and Forgotten Tree,Constructive algorithms|Graph network flows,constructive algorithms|flows,86,0.877,Hard,0.0020434349
611G,New Year and Cake,Geometry computational geometry|Two pointers,geometry|two pointers,110,0.781,Hard,0.0026136958
611F,New Year and Cleaning,Binary search|Implementation problems programming technics simulation,binary search|implementation,273,0.582,Medium,0.0064867177
611E,New Year and Three Musketeers,Heaps binary search trees segment trees hash tables etc|Greedy algorithms,data structures|greedy,577,0.739,Hard,0.0137100223
611D,New Year and Ancient Prophecy,Hashing hashtables|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,hashing|strings,1555,0.714,Medium,0.0369481538
611C,New Year and Domino,Dynamic programming|Implementation problems programming technics simulation,dp|implementation,4117,0.706,Medium,0.0978235043
611B,New Year and Old Property,Brute force|Implementation problems programming technics simulation,brute force|implementation,4895,0.298,Easy,0.1163094616
611A,New Year and Days,Implementation problems programming technics simulation,implementation,7089,0,Easy,0.1684408117
610E,Alphabet Permutations,Heaps binary search trees segment trees hash tables etc|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,data structures|strings,253,0.739,Hard,0.0060115003
610D,Vika and Segments,Heaps binary search trees segment trees hash tables etc|Geometry computational geometry|Two pointers,data structures|geometry|two pointers,602,0.781,Hard,0.0143040441
610C,Harmony Analysis,Constructive algorithms,constructive algorithms,2000,0.433,Medium,0.0475217412
610B,Vika and Squares,Implementation problems programming technics simulation,implementation,3809,0,Easy,0.0905051561
610A,Pasha and Stick,Combinatorics|Mathematics including integration differential equations etc,combinatorics|math,6081,0.687,Medium,0.1444898541
609F,Frogs and mosquitoes,Heaps binary search trees segment trees hash tables etc,data structures,221,0.739,Hard,0.0052511524
609E,Minimum spanning tree for each edge,Heaps binary search trees segment trees hash tables etc|Dfs and similar|Disjoint set union|Graphs|Trees,data structures|dfs and similar|dsu|graphs|trees,797,0.756,Hard,0.0189374139
609D,Gadgets for dollars and pounds,Binary search|Two pointers,binary search|two pointers,809,0.582,Medium,0.0192225443
609C,Load Balancing,Implementation problems programming technics simulation,implementation,2480,0,Easy,0.0589269591
609B,The Best Gift,Implementation problems programming technics simulation,implementation,3813,0,Easy,0.0906001996
609A,USB Flash Drives,Greedy algorithms|Implementation problems programming technics simulation|Sortings orderings,greedy|implementation|sortings,4962,0.353,Easy,0.1179014399
608B,Hamming Distance Sum,Combinatorics,combinatorics,3063,0.687,Medium,0.0727795466
608A,Saitama Destroys Hotel,Implementation problems programming technics simulation|Mathematics including integration differential equations etc,implementation|math,5068,0.366,Easy,0.1204200922
607E,Cross Sum,Binary search|Geometry computational geometry,binary search|geometry,49,0.781,Hard,0.0011642827
607D,Power Tree,Heaps binary search trees segment trees hash tables etc,data structures,246,0.739,Hard,0.0058451742
607C,Marbles,Hashing hashtables|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,hashing|strings,456,0.714,Medium,0.010834957
607B,Zuma,Dynamic programming,dp,2092,0.706,Medium,0.0497077413
607A,Chain Reaction,Binary search|Dynamic programming,binary search|dp,3294,0.706,Medium,0.0782683078
606B,Testing Robots,Implementation problems programming technics simulation,implementation,2176,0,Easy,0.0517036544
606A,Magic Spheres,Implementation problems programming technics simulation,implementation,5154,0,Easy,0.1224635271
605E,Intergalaxy Trips,Probabilities expected values statistics random variables etc|Shortest paths on weighted and unweighted graphs,probabilities|shortest paths,206,0.802,Hard,0.0048947393
605D,Board Game,Heaps binary search trees segment trees hash tables etc|Dfs and similar,data structures|dfs and similar,370,0.739,Hard,0.0087915221
605C,Freelancer's Dreams,Geometry computational geometry,geometry,500,0.781,Hard,0.0118804353
605B,Lazy Student,Constructive algorithms|Heaps binary search trees segment trees hash tables etc|Graphs,constructive algorithms|data structures|graphs,1782,0.739,Hard,0.0423418714
605A,Sorting Railway Cars,Constructive algorithms|Greedy algorithms,constructive algorithms|greedy,3851,0.433,Medium,0.0915031127
604B,More Cowbell,Binary search|Greedy algorithms,binary search|greedy,3973,0.582,Medium,0.0944019389
604A,Uncowed Forces,Implementation problems programming technics simulation,implementation,5415,0,Easy,0.1286651143
603E,Pastoral Oddities,Heaps binary search trees segment trees hash tables etc|Divide and Conquer|Disjoint set union|Trees,data structures|divide and conquer|dsu|trees,107,0.857,Hard,0.0025424132
603D,Ruminations on Ruminants,Geometry computational geometry|Mathematics including integration differential equations etc,geometry|math,166,0.781,Hard,0.0039443045
603C,Lieges of Legendre,Games Sprague–Grundy theorem,games,984,0.663,Medium,0.0233806967
603B,Moodular Arithmetic,Dfs and similar|Disjoint set union|Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,dfs and similar|dsu|math|number theory,1490,0.686,Medium,0.0354036972
603A,Alternative Thinking,Dynamic programming|Greedy algorithms,dp|greedy,3509,0.706,Medium,0.0833768949
602B,Approximating a Constant Range,Dynamic programming|Two pointers,dp|two pointers,3722,0.706,Medium,0.0884379604
602A,Two Bases,Implementation problems programming technics simulation,implementation,5265,0,Easy,0.1251009837
601E,A Museum Robbery,Heaps binary search trees segment trees hash tables etc|Dynamic programming,data structures|dp,203,0.739,Hard,0.0048234567
601D,Acyclic Organic Compounds,Heaps binary search trees segment trees hash tables etc|Dfs and similar|Disjoint set union|Hashing hashtables|Trees,data structures|dfs and similar|dsu|hashing|trees,467,0.756,Hard,0.0110963266
601C,Kleofáš and the n-thlon,Dynamic programming|Probabilities expected values statistics random variables etc,dp|probabilities,668,0.802,Hard,0.0158722616
601B,Lipshitz Sequence,Heaps binary search trees segment trees hash tables etc,data structures,1160,0.739,Hard,0.0275626099
601A,The Two Routes,Graphs|Shortest paths on weighted and unweighted graphs,graphs|shortest paths,3663,0.732,Hard,0.087036069
600F,Edge coloring of bipartite graph,Graphs,graphs,93,0.705,Medium,0.002209761
600E,Lomsat gelral,Dfs and similar|Disjoint set union|Trees,dfs and similar|dsu|trees,631,0.756,Hard,0.0149931093
600D,Area of Two Circles' Intersection,Geometry computational geometry,geometry,565,0.781,Hard,0.0134248919
600C,Make Palindrome,Greedy algorithms,greedy,1657,0.353,Easy,0.0393717626
600B,Queries about less or equal elements,Binary search|Sortings orderings|Two pointers,binary search|sortings|two pointers,3321,0.582,Medium,0.0789098513
600A,Extract Numbers,Implementation problems programming technics simulation,implementation,2004,0,Easy,0.0476167847
599E,Sandy and Nuts,Bitmasks|Dynamic programming,bitmasks|dp,223,0.728,Medium,0.0052986741
599D,Spongebob and Squares,Brute force|Mathematics including integration differential equations etc,brute force|math,1700,0.366,Easy,0.04039348
599C,Day at the Beach,Sortings orderings,sortings,2876,0.275,Easy,0.0683362638
599B,Spongebob and Joke,Implementation problems programming technics simulation,implementation,3140,0,Easy,0.0746091337
599A,Patrick and Shopping,Implementation problems programming technics simulation,implementation,7837,0,Easy,0.1862139429
598F,Cut Length,Geometry computational geometry,geometry,78,0.781,Hard,0.0018533479
598E,Chocolate Bar,Brute force|Dynamic programming,brute force|dp,1107,0.706,Medium,0.0263032838
598D,Igor In the Museum,Dfs and similar,dfs and similar,2246,0.645,Medium,0.0533669154
598C,Nearest vectors,Geometry computational geometry|Sortings orderings,geometry|sortings,980,0.781,Hard,0.0232856532
598B,Queries on a String,Implementation problems programming technics simulation|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,implementation|strings,3567,0.331,Easy,0.0847550254
598A,Tricky Sum,Mathematics including integration differential equations etc,math,6211,0.366,Easy,0.1475787673
597C,Subsequences,Heaps binary search trees segment trees hash tables etc|Dynamic programming,data structures|dp,734,0.739,Hard,0.017440479
597B,Restaurant,Dynamic programming|Greedy algorithms|Sortings orderings,dp|greedy|sortings,1417,0.706,Medium,0.0336691536
597A,Divisibility,Mathematics including integration differential equations etc,math,1999,0.366,Easy,0.0474979803
596E,Wilbur and Strings,Dfs and similar|Dynamic programming|Graphs,dfs and similar|dp|graphs,188,0.706,Medium,0.0044670437
596D,Wilbur and Trees,Dynamic programming|Probabilities expected values statistics random variables etc|Sortings orderings,dp|probabilities|sortings,422,0.802,Hard,0.0100270874
596C,Wilbur and Points,Greedy algorithms|Sortings orderings,greedy|sortings,1717,0.353,Easy,0.0407974148
596B,Wilbur and Array,Greedy algorithms,greedy,5134,0.353,Easy,0.1219883097
596A,Wilbur and Swimming Pool,Implementation problems programming technics simulation,implementation,4709,0,Easy,0.1118899396
595B,Pasha and Phone,Binary search|Mathematics including integration differential equations etc,binary search|math,2264,0.582,Medium,0.053794611
595A,Vitaly and Night,Implementation problems programming technics simulation,implementation,6225,0,Easy,0.1479114195
594E,Cutting the Line,Suffix arrays suffix trees suffix automatas etc|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,string suffix structures|strings,25,0.825,Hard,0.0005940218
594D,REQ,Heaps binary search trees segment trees hash tables etc|Number theory: Euler function GCD divisibility etc,data structures|number theory,347,0.739,Hard,0.0082450221
